VARIETY,YIELD PER ACRE (BAGS),ALTITUDE  RANGE (M),DAYS TO MATURITY
H6213,52 x 90kg,1700-2100,160 – 190
H6212,52 x 90kg,1700-2100,160 – 190
H6210,50 x 90kg,1700-2100,160 – 190
H9401,48 x 90kg,1700-2100,160 – 190
H629,48 x 90kg,1700-2400,160 – 190
H628,46 x 90kg,1500-2100,150 – 180
H627,44 x 90kg,1500-2100,150 – 180
H626,42 x 90kg,1500-2100,150 – 180
H625,40 x 90kg,1500-2100,150 – 180
H614,38 x 90kg,1500-2100,160 – 190
H624,32 x 90kg,1000-1800,140 – 180
H623,28 x 90kg,1000-1800,140 – 190
H516,28 x 90kg,1000-1800,100 – 140
H515,26 x 90kg,1000-1800,120 – 150
H513,24 x 90kg,1000-1800,100 – 150
H511,23 x 90kg,1000-1800,100 – 150
PH4,20 x 90kg,0 – 1200,90 – 120
PH1,15 x 90kg,0 – 1200,75 – 120
DH01,15 x 90kg,800-1200,100 – 120
DH02,15 x 90kg,800 – 1200,100 – 120
DH03,15 x 90kg,800 – 1200,100 – 120
DH04,19 x 90kg,800 – 1200,100 – 120
Katumani Composite,15 x 90 kg,1000-1900,75 – 120
DLC1,13 x 90kg,1000-1900,75 – 120
,,,
